"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","794","testSuite_InteractionAccess()","","2025-12-05","passed","2025-12-05","","SamplerTests.tests.SamplerTest2","SamplerTests.tests.SamplerTest2","testSuite_InteractionAccess"
"","6996","testSuite_DataInputAccess()","","2025-12-05","passed","2025-12-05","","SamplerTests.tests.SamplerTest2","SamplerTests.tests.SamplerTest2","testSuite_DataInputAccess"
