"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Bookstore","1","0","Adicionar Categoria","0"
"0","","0","Bookstore","1","0","Adicionar Produto","0"
