"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que é possível adicionar uma categoria após login","5403","testAddCategory()","","2025-12-04","passed","2025-12-04","","adicionarCategoria.AddCategoryTest","adicionarCategoria.AddCategoryTest","testAddCategory"
"Valida que é possível adicionar um produto após login","5363","testAddProduct()","","2025-12-04","passed","2025-12-04","","adicionarProduto.AddProductTests","adicionarProduto.AddProductTests","testAddProduct"
